company_name,rating,founded_year,india_employee_count,global_employee_count,india_headquarters,global_headquarters,website,primary_industry
TCS,3.4,1968 (57 yrs old),1 Lakh+,1 Lakh+,N/A,"Mumbai, Maharashtra, India",N/A,N/A
Accenture,3.7,1989 (36 yrs old),1 Lakh+,1 Lakh+,N/A,"Bangalore / Bengaluru, Karnataka3.61 office location",N/A,N/A
Wipro,3.6,1945 (80 yrs old),1 Lakh+,1 Lakh+,N/A,"Bangalore/Bengaluru, Karnataka, India",N/A,N/A
Cognizant,3.7,1994 (31 yrs old),1 Lakh+,1 Lakh+,N/A,"Hyderabad / Secunderabad, Telangana3.71 office location",N/A,N/A
Capgemini,3.7,1967 (58 yrs old),1 Lakh+,1 Lakh+,N/A,"Pune, Maharashtra3.7HQ",N/A,N/A
HDFC Bank,3.8,1994 (31 yrs old),1 Lakh+,1 Lakh+,N/A,"Mumbai, Maharashtra, India",N/A,N/A
Infosys,3.5,N/A,N/A,N/A,N/A,"Bangalore / Bengaluru, Karnataka3.4HQ& 7 office locations",N/A,N/A
ICICI Bank,4.0,1994 (31 yrs old),1 Lakh+,1 Lakh+,N/A,"Mumbai, Maharashtra, India",N/A,N/A
HCLTech,3.4,N/A,N/A,N/A,N/A,"Noida, Uttar Pradesh",N/A,N/A
Tech Mahindra,3.4,1986 (39 yrs old),1 Lakh+,1 Lakh+,N/A,"Pune, Maharashtra, India",N/A,N/A
